Name,Value,Category,Description
Vout,19 V,System Information,Operational Output Voltage
IC Tolerance,10 mV,IC,IC Feedback Tolerance
Cin IRMS,74.9 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,50.5 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,470.79 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,221.71 µW,Capacitor,Output capacitor power dissipation
D1 Tj,82.09 °C,Diode,D1 junction temperature
Diode Pd,373 mW,Diode,Diode power dissipation
L Ipp,259.48 mA,Inductor,Peak-to-peak inductor ripple current
Ipp percentage,16.79%,Inductor,Inductor ripple current percentage (with respect to average inductor current)
L Pd,64.17 mW,Inductor,Inductor power dissipation
Duty Cycle,84.66%,System Information,Duty cycle
Efficiency,76.8%,System Information,Steady state efficiency
Frequency,2.06 MHz,System Information,Switching frequency
IC Tj,41.49 °C,IC,IC junction temperature
IC Pd,702.1 mW,IC,IC power dissipation
Pout,3.8 W,System Information,Total output power
Iin Avg,1.55 A,IC,Average input current
IC Ipk,1.43 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,59.12 mV,System Information,Peak-to-peak output ripple voltage
Vin p-p,9.16 mV,System Information,Input Source ripple voltage
Phase Marg,47.71 °,System Information,Bode Plot Phase Margin
Cross Freq,16.69 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,91.92 dB,System Information,Gain at 1Hz
Gain Marg,-11.67 dB,System Information,Bode Plot Gain Margin
ICThetaJA Effective,16.38 °C/W,IC,Effective IC Junction-to-Ambient Thermal Resistance
FootPrint,140 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,19.19 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,2.93%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,3.2 V,System Information,Vin operating point
Iout,200 mA,System Information,Iout operating point
Cin Pd,50.5 µW,Power,Input capacitor power dissipation
Cout Pd,221.65 µW,Power,Output capacitor power dissipation
Diode Pd,372.06 mW,Power,Diode power dissipation
L Pd,64.14 mW,Power,Inductor power dissipation
IC Pd,701.75 mW,Power,IC power dissipation
Total BOM,$2.11,System Information,Total BOM Cost
Total Pd,1.15 W,Power,Total Power Dissipation
BOM Count,15 ,System Information,Total Design BOM count
